genres,movie_id,budget,title,popularity,release_date,revenue,ROI,Director
Drama,15487,25000000,The Greatest Game Ever Played,6.969342,9/30/2005,15431177.0,-38.275292,Bill Paxton
Family,15487,25000000,The Greatest Game Ever Played,6.969342,9/30/2005,15431177.0,-38.275292,Bill Paxton
Crime,398,7000000,Capote,6.01272,9/30/2005,49084830.0,601.2118571428571,Bennett Miller
Drama,398,7000000,Capote,6.01272,9/30/2005,49084830.0,601.2118571428571,Bennett Miller
Action,11968,50000000,Into the Blue,10.022102,9/30/2005,44434439.0,-11.131122,John Stockwell
Thriller,11968,50000000,Into the Blue,10.022102,9/30/2005,44434439.0,-11.131122,John Stockwell
Adventure,11968,50000000,Into the Blue,10.022102,9/30/2005,44434439.0,-11.131122,John Stockwell
Crime,11968,50000000,Into the Blue,10.022102,9/30/2005,44434439.0,-11.131122,John Stockwell
Fantasy,14517,4000000,Mirrormask,5.354783,1/25/2005,866999.0,-78.32502500000001,Dave McKean
Adventure,533,30000000,The Curse of the Were-Rabbit,11.766244,9/4/2005,192452832.0,541.50944,Nick Park
Animation,533,30000000,The Curse of the Were-Rabbit,11.766244,9/4/2005,192452832.0,541.50944,Nick Park
Comedy,533,30000000,The Curse of the Were-Rabbit,11.766244,9/4/2005,192452832.0,541.50944,Nick Park
Family,533,30000000,The Curse of the Were-Rabbit,11.766244,9/4/2005,192452832.0,541.50944,Nick Park
Action,5236,15000000,Kiss Kiss Bang Bang,11.76054,9/5/2005,15785148.0,5.23432,Shane Black
Comedy,5236,15000000,Kiss Kiss Bang Bang,11.76054,9/5/2005,15785148.0,5.23432,Shane Black
Crime,5236,15000000,Kiss Kiss Bang Bang,11.76054,9/5/2005,15785148.0,5.23432,Shane Black
Mystery,5236,15000000,Kiss Kiss Bang Bang,11.76054,9/5/2005,15785148.0,5.23432,Shane Black
Drama,9763,30000000,Goal!: The Dream Begins,9.783762,6/6/2005,27610873.0,-7.963756666666668,Danny Cannon
Romance,10017,2700000,The Wraith,7.657918,11/21/1986,3500000.0,29.629629629629626,Mike Marvin
Science Fiction,10017,2700000,The Wraith,7.657918,11/21/1986,3500000.0,29.629629629629626,Mike Marvin
Horror,10017,2700000,The Wraith,7.657918,11/21/1986,3500000.0,29.629629629629626,Mike Marvin
Action,10017,2700000,The Wraith,7.657918,11/21/1986,3500000.0,29.629629629629626,Mike Marvin
Crime,10017,2700000,The Wraith,7.657918,11/21/1986,3500000.0,29.629629629629626,Mike Marvin
Action,27759,17000000,55 Days at Peking,2.972529,5/6/1963,10000000.0,-41.17647058823529,Nicholas Ray
Drama,27759,17000000,55 Days at Peking,2.972529,5/6/1963,10000000.0,-41.17647058823529,Nicholas Ray
History,27759,17000000,55 Days at Peking,2.972529,5/6/1963,10000000.0,-41.17647058823529,Nicholas Ray
Comedy,10707,1500000,The Squid and the Whale,10.952762,10/5/2005,11098131.0,639.8754,Noah Baumbach
